Number,Type,Nature/AI,Source,Premise,Hypothesis,Res,
27,positive,Nature,梁斌 红旗谱,他们走过第一春两层大院，叫伙计打开正房的门。屋里摆着铜床、沙发、藤篾椅子。冯贵堂请严知孝坐在沙发上，递过纸烟吸着。,"A.屋里摆着家具。
B.屋里摆着真皮沙发。
C.他们走过第一春两层大院，叫伙计关上正房的门。
D.冯贵堂请严知孝站着。",A,
28,positive,Nature,周而复 上海的早晨,马蹄形沙发对面的墙上挂了一幅唐伯虎的山水；地上铺着一寸来厚的碧绿地毯，迎窗两个墙角的茶几上各放着一盆吊兰，长得郁郁葱葱，一丛一丛的清秀的绿叶几乎要拖到碧绿地毯上，把橙黄的花儿差点遮盖住了。,"A.迎窗两个墙角的茶几上各放着一盆植物。
B.迎窗两个墙角的茶几上各放着一盆银心吊兰。
C.马蹄形沙发对面的墙上挂了一幅苏轼的山水。
D.地上没有铺地毯。",A,
29,positive,Nature,周而复 上海的早晨,路边的电线上挂着一连串的圆圆的透明的水珠，不时无声地落在煤渣路上。路两旁的菜田里种着碧绿的青菜，菜叶子上好像刚刚撒了油一样，闪闪发光。,"A.路两旁的菜田里种着碧绿的蔬菜。
B.路两旁的菜田里种着碧绿的小青菜。
C.路边的电线上挂着一连串的扁扁的透明的水珠
D.水珠没有落在煤渣路上。",A,
30,positive,Nature,欧阳山 三家巷,在半路上，他看见有一家卖糖果饼干的店铺，就使劲拍开它的门，掏出几个铜板，买了几颗椰子糖，再往何家走。,"A.在半路上，他看见有一家卖零食的店铺。
B.在半路上，他看见有一家卖进口饼干的店铺。
C.他使劲关上这家店的门。
D.他什么都没买就走了。",A,
31,positive,Nature,张洁 世界上最疼我的那个人去了,这件连衣裙到现在也没有洗过，我就这样收着它，好像收着与妈相关的最后一点可以摸得着的东西。那件衬衣妈一次也没有穿过。从美国回来以后，着实给妈做了一些衣服。,"A.这件衣物到现在也没有洗过。
B.这件牛仔连衣裙到现在也没有洗过。
C.从美国回来以后，着实给妈买了一些衣服。
D.那件衬衣妈一直穿。",A,
32,positive,Nature,六六 蜗居,海萍收了线，满脑子都飘荡着儿子抱着自己啃啊啃，啃出一脸口水的模样。小家伙肯定长高长壮了，又半年没见了。想着想着，海萍在公交车上一人就开始美美地乐了。海藻是掐着火车进站的点儿才到的。,"A.海萍在车上一人就开始美美地乐了。
B.海萍在96路公交车上一人就开始美美地乐了。
C.海萍两三年没见儿子了。
D.海藻提前了一个小时到车站。",A,
33,positive,Nature,王朔 永失我爱,路边两个卖汽水的小伙子噗哧一乐，见我看他们，忙低头滚动排列在冰块上炮弹夹似的汽水瓶。我再看石静，她站在街当间哭了。,"A.路边两个卖饮料的小伙子噗哧一乐。
B.路边两个卖柠檬汽水的小伙子噗哧一乐。
C.石静站在街当间笑了。
D.我没有看石静。",A,
34,positive,Nature,苏童 妇女生活,傍晚时分小杜如约而至。他带来了一筐桔子和一袋话梅，那都是箫最爱吃的东西。,"A.小杜带来了一筐桔子和一袋零食。
B.小杜带来了一筐桔子和一袋蜂蜜味话梅。
C.凌晨时分小杜如约而至。
D.箫不爱吃桔子。",A,
35,positive,Nature,老舍 无名高地有了名,我在志愿军某军住了五个来月，访问了不少位强攻与坚守“老秃山”的英雄，阅读了不少有关的文件。我决定写一部小说。,"A.我决定写一部文学作品。
B.我决定写一部爱情小说。
C.我没有访问任何强攻与坚守“老秃山”的英雄。
D.我在志愿军某军住了一个月。",A,
36,positive,AI,,音乐厅里摆放着一架钢琴。音乐家朗朗曾用它演奏过乐曲，参观者不能随意触碰。,"A.音乐厅里摆放着一个乐器。
B.音乐厅里摆放着一架三角钢琴。
C.音乐家李云迪曾用这架钢琴演奏过乐曲。
D.参观者可以随意触碰这架钢琴。",A,
37,positive,AI,,最近因为国家补贴，很多家具都很便宜。我们客厅的一把沙发被换成了新的款式。妈妈很喜欢。,"A.客厅的一件家具被换成了新的款式。
B.客厅的一把转角沙发被换成了新的款式。
C.最近因为国家补贴，很多家具都很贵。
D.妈妈不喜欢新的沙发。",A,
38,positive,AI,,早餐店提供包子，许多上班族在排队购买。,"A.早餐店有中式早点。
B.早餐店有韭菜馅包子。
C.许多学生族在排队购买。
D.早餐店停止营业了。",A,
39,positive,AI,,东南角的场馆里有企鹅，孩子们兴奋地拍照。,"A.东南角的场馆里有动物。
B.东南角的场馆里有帝企鹅。
C.孩子们恹恹地拍照。
D.场馆里没有人。",A,
40,positive,AI,,女孩子们为了漂亮约定一起减肥，昨天只吃了几片生菜，今天中午吃了萝卜。,"A.女孩子们今天中午吃了蔬菜。
B.女孩子们今天中午吃了胡萝卜。
C.女孩子们放弃减肥了。
D.女孩子们昨天没吃生菜。",A,
41,positive,AI,,情人节快到了，花店橱窗里摆满了玫瑰，店主正在修剪枝叶。,"A.花店橱窗里摆满了鲜花。
B.花店橱窗里摆满了红玫瑰。
C.情人节已经过了。
D.店主不修剪枝叶。",A,
42,positive,AI,,菜市场里这个摊位卖茄子。茄子的质量很好就是有点贵，顾客和摊主在讨价还价。,"A.菜市场里这个摊位卖蔬菜。
B.菜市场里这个摊位卖紫茄子。
C.顾客和摊主一口价定了。
D.茄子的质量很好而且很便宜。",A,
43,positive,AI,,画廊正在展出国庆节油画特展，有许多参观者在聆听导览讲解。,"A.画廊正在展出国庆节艺术作品特展。
B.画廊正在展出国庆节印象派油画特展。
C.没什么参观者在聆听导览讲解。
D.现在不是国庆节。",A,
44,positive,AI,,周六天气很好，有一只狗正在草地上追逐飞盘。小狗叼着飞盘激动地跑回主人身边。,"A.有一只动物正在草地上追逐飞盘。
B.有一只牧羊犬正在草地上追逐飞盘。
C.小狗丢了飞盘激动地跑回主人身边。
D.周六天气不好。",A,
45,positive,AI,,他早上从市场买了一袋苹果。苹果很甜，物美价廉。,"A.他早上从市场买了一袋水果。
B.他早上从市场买了一袋红富士苹果。
C.他买的苹果不甜。
D.他买的苹果很贵。",A,
46,positive,AI,,为了拉动消费，在政府的监管和扶持下夜市经济逐渐发展。这条街上排队最长的摊位在卖烤串，游客举着手机拍照。,"A.这条街上排队最长的摊位在卖小吃。
B.这条街上排队最长的摊位在卖烤羊肉串。
C.游客举着相机拍照。
D.夜市被严令禁止。",A,
47,positive,AI,,龙卷风像巨型漏斗般扫过麦田，折断的玉米秆与塑料大棚残骸在空中翻卷，远处传来奶牛惊恐的哞叫。,"A.剧烈的自然现象扫过麦田。
B.裹挟着冰雹的龙卷风像巨型漏斗般扫过麦田。
C.玉米秆没有折断。
D.奶牛一声也不叫。",A,
48,positive,AI,,小丽家最近在装修，她很喜欢干净的浅色，因此她卧室的墙壁也被刷成了浅色。,"A.她卧室的墙壁被刷上了颜色。
B.她卧室的墙壁被刷成了浅蓝色。
C.小丽家最近在拆迁。
D.小丽不喜欢浅色。",A,
49,positive,AI,,周日下午，小陈正在准备下午茶。烤箱里烤着小面包，传出阵阵香味。,"A.烤箱里烤着面包。
B.烤箱里烤着法棍小面包。
C.烤箱里传出阵阵焦味。
D.周日下午，小陈没有准备下午茶。",A,
50,positive,AI,,工人们手持激光测距仪和雕刻刀，正在修复那座教堂的尖顶，碎石与彩色玻璃碎片在阳光下簌簌落下。,"A.工人们正在修复那座建筑的尖顶。
B.工人们正在修复那座哥特式教堂的尖顶。
C.雨下个不停。
D.工人们没有用激光测距仪。",A,
51,positive,AI,,他用钳子轻松撬开了木板上的钉子，打开了箱子，发现里面是半年前订的摄影设备。,"A.他用工具轻松撬开了木板上的钉子。
B.他用羊角钳轻松撬开了木板上的钉子。
C.箱子里是半年前订的钓鱼装备。
D.他没有打开箱子。",A,
52,positive,AI,,孩子们用手机完成了所有的在线作业，效率很高，因此妈妈同意他们吃完晚饭可以出去玩一会儿。,"A.孩子们用电子设备完成了所有的在线作业。
B.孩子们用苹果手机完成了所有的在线作业。
C.妈妈不同意他们吃完晚饭可以出去玩一会儿。
D.孩子们完成在线作业的效率很低。",A,
53,positive,AI,,每天傍晚，一辆公交车会准时经过学校门口。很多学生都会搭这班车回家，还有一些人乘地铁回家。,"A.每天傍晚，一辆车会准时经过学校门口。
B.每天傍晚，一辆新能源公交车会准时经过学校门口。
C.很多学生都会搭这班车去公园。
D.没有学生乘地铁回家。",A,
54,positive,AI,,双休日是小明家固定的大扫除时间。小明负责扫地，妈妈在用吸尘器清理沙发。,"A.妈妈在用家用电器清理沙发。
B.妈妈在用戴森吸尘器清理沙发。
C.周四是小明家固定的大扫除时间。
D.小明没有扫地。",A,
55,positive,AI,,护士用镊子夹起棉球，沿着患者前臂静脉穿刺点的放射状淤青螺旋消毒，医用胶带与止血纱布在无菌托盘里泛着冷蓝色反光。,"A.护士用镊子夹起医用消毒用品，沿着患者前臂静脉穿刺点的放射状淤青螺旋消毒。
B.护士用镊子夹起碘伏棉球，沿着患者前臂静脉穿刺点的放射状淤青螺旋消毒。
C.止血纱布在无菌托盘里泛着紫色反光。
D.无菌托盘里没有医用胶带。",A,
56,positive,AI,,书法课上，学生用毛笔蘸取墨汁，在蜡染笺上书写《兰亭集序》，镇纸压住的纸角被穿堂风掀起又落下，教室里十分安静。,"A.书法课上，学生用毛笔蘸取墨汁，在纸上书写《兰亭集序》。
B.书法课上，学生用毛笔蘸取墨汁，在洒金蜡染笺上书写《兰亭集序》。
C.镇纸压住的纸角纹丝不动。
D.教室里很吵闹。",A,
57,positive,AI,,化妆师用眼影层层晕染模特的眼窝，珠光提亮色在镁光灯下形成银河渐层，假睫毛胶水与定妆喷雾的气息在空气中交织。,"A.化妆师用化妆品层层晕染模特的眼窝。
B.化妆师用灰棕系眼影层层晕染模特的眼窝。
C.珠光提亮色在黑暗中形成银河渐层。
D.化妆师没有用定妆喷雾。",A,
58,positive,AI,,弟弟把钢笔忘在了图书馆桌上。等他发现的时候图书馆已经关门了，所以他决定第二天去找。,"A.弟弟把文具忘在了图书馆桌上。
B.弟弟把英雄钢笔忘在了图书馆桌上。
C.弟弟发现这件事的时候图书馆还开着门。
D.弟弟决定当天去找钢笔。",A,
59,positive,AI,,清晨主治医生例行查房时护士正在给病人测量血压。病人的状况不错，各项指标都正常。,"A.医护人员正在给病人测量血压。
B.急诊护士正在给病人测量血压。
C.主治医生在傍晚例行查房。
D.病人的血压有点高。",A,
60,positive,AI,,姐姐的裙子挂在衣架上。今天天气很好，妈妈洗了姐姐的裙子。,"A.姐姐的衣物挂在衣架上。
B.姐姐的百褶裙挂在衣架上。
C.妈妈洗了姐姐的裤子。
D.今天天气不好。",A,
61,negative,Nature,刘震云 一句顶一万句,老詹在延津没有亲人，一个叔叔过去在开封，十五年前也死了；叔叔死之前叔侄相见，也是叔叔在教诲他，他只有听的份儿；几十年间，能说心里话的，也就是个妹妹。,"A.老詹在延津没有父母。
B.在延津没有认识的人。
C.老詹有一个阿姨过去在开封。
D.过去几十年，老詹不能和妹妹说心理话。",A,
62,negative,Nature,刘震云 一句顶一万句,但当时的延津，除了乡下稀稀拉拉有几处私塾，县城竟没有一座学堂。老胡县令当了三十五年，只顾打桌椅板凳和箱子柜，倒把学堂的事给忘了。,"A.延津县城没有一座现代学堂。
B.延津县城没有教学场所。
C.老胡当了五年县令。
D.延津乡下没有私塾。",A,
63,negative,Nature,孙犁 风云初记,田大瞎子家地边上的小桑树，永远不得茂盛，总是靠他家的半边死，靠人家的半边活。弄得这一带的孩子们，春天养个蚕儿玩，也没有桑叶吃。,"A.弄得这一带的孩子们，春天养个蚕儿玩，也没有新鲜桑叶吃。
B.弄得这一带的孩子们，春天养个蚕儿玩，也没有叶子吃。
C.田大瞎子家地边上的小桑树，永远茂盛。
D.田大瞎子家地边上的小桑树，总是靠他邻居家的半边死。",A,
64,negative,Nature,余华 古典爱情,道上依稀留有几双人过后的足印，却没有狗的印迹。有一条短路从道旁岔开去，岔处下是一条涧沟。涧沟里无水，稀稀长着几根黄草。,"A.道上没有黄狗的印迹。
B.道上没有动物的印迹。
C.道上依没有人的足印。
D.涧沟里有水。",A,
65,negative,Nature,刘震云 一句顶一万句,土匪们闲时练枪法，就来撵兔子和狐狸打。后来兔子狐狸都逃到别处了，这里就没有兔子和狐狸了。土匪们在这里住宿，不盖房子，都是搭的土趴子。,"A.后来，这里就没有灰兔子了。
B.后来，这里就没有动物了。
C.土匪们闲时练刀法，就来撵兔子和狐狸打。
D.土匪们在这里盖房子。",A,
66,negative,Nature,刘震云 一句顶一万句,在“老马汽修厂”旁边，又出现一个公路饭店叫“九弦河大酒店”。说是大酒店，也像过去李昆的美食城一样，也就三间屋子，七八张桌子，做些宫保鸡丁和鱼香肉丝等家常菜。附近并没有河，也不知这名字缘何而起。,"A.“九弦河大酒店”附近没有黄河。
B.“九弦河大酒店”附近没有水系。
C.“九弦河大酒店”离“老马汽修厂”很远。
D.“九弦河大酒店”不做家常菜。",A,
67,negative,Nature,刘震云/一地鸡毛,但小孩入托一事，碰到了困难。小林单位没有幼儿园，老婆单位有幼儿园，但离家太远，每天跟着老婆来回坐车也不合适，这就只能在家门口附近找幼儿园。,"A.小林单位没有双语幼儿园。
B.小林单位没有教育机构。
C.老婆单位没有幼儿园。
D.幼儿园离家太近。",A,
68,negative,Nature,刘震云/一地鸡毛,等家收拾得差不多了，老婆就不满意了，怪这个地方离她单位太远，因她的单位在这条线上没有班车，她得挤公共汽车上班，往返一趟，得三四个小时。,"A.她的单位在这条线上没有早班车。
B.她的单位在这条线上没有车。
C.她得挤三轮车上班。
D.这个地方离她单位很近。",A,
69,negative,Nature,严歌苓/陆犯焉识,婉喻是他生命中最软弱的一部分，就像这被磨掉了皮的嫩肉。昨夜是那个店主救了他。不，救他的是高粱酒。没有高粱酒，他已葬身狼腹，已经被狼的一家消化了。这是个奇迹，太奇迹了！,"A.没有陈年高粱酒，他已葬身狼腹。
B.没有酒，他已葬身狼腹。
C.婉喻是他生命中最坚强的一部分。
D.这不是一个奇迹。",A,
70,negative,Nature,余华/难逃劫数,妻子的哭声像硝烟一样在屋内弥漫开来，她用食指凶狠地指着森林：“你从来没为我买过一条裤子。”那时候森林眼前出现了一片空荡，而一块绝望的黑纱在空荡里飘来了。,"A.她用食指凶狠地指着森林：“你从来没为我买过一条漂亮裤子。”
B.她用食指凶狠地指着森林：“你从来没为我买过一件衣服。”
C.妻子的哭声没有弥漫开来。
D.一块绝望的白纱在空荡里飘来了。",A,
71,negative,Nature,张恨水/春明外史,他这样说时，低头一看自己的碟子里，正是没有苹果。自己也觉这种虚谦，虚谦得没有道理。史科莲这时也就很为难。这个苹果，一定要给祖母，岂不是不给祖母面子，若是吃了，越发显得没礼。,"A.碟子里没有红苹果。
B.碟子里没有水果。
C.史科莲一点也不为难。
D.他没有低头看自己的碟子。",A,
72,negative,Nature,余华/活着,那天村里挑羊粪去肥田，那时候田里插满了竹竿，原先竹竿上都是纸做的大小红旗，几场雨一下，红旗全没了，只在竹竿上沾了些红纸屑。,"A.几场雨一下，小红旗全没了，
B.几场雨一下，旗子全没了，
C.田里插满了电线杆。
D.那天村里挑牛粪去肥田。",A,
73,negative,Nature,严歌苓/陆犯焉识,他告诉店员是啥东西，又把它的用法示范了两遍，很遗憾，没有领带，男人不打领带有十多年了。曾经的马步芳常常有打领带的朋友。送他一辆美军吉普的美国将军一定打领带。,"A.他告诉店员是啥东西，又把它的用法示范了两遍，很遗憾，没有真丝领带。
B.他告诉店员是啥东西，又把它的用法示范了两遍，很遗憾，没有饰品。
C.男人一直打领带。
D.美国将军不打领带。",A,
74,negative,Nature,余华/活着,这下可把那几个年轻人笑坏了，我的凤霞穿着满是补丁的衣服，和新娘走在一起，新娘穿得又整齐又鲜艳，长得也好，和我凤霞一比，凤霞寒碜得实在是可怜。凤霞脸上没有脂粉，也红扑扑和新娘一样，她一直扭头看着新娘。,"A.凤霞脸上没有粉红脂粉。
B.凤霞脸上没有任何化妆品。
C.新娘穿得乱糟糟的。
D.凤霞没有和新娘走在一起。",A,
75,negative,Nature,人民日报1977年08月16日,每天，王淑春给患儿喂奶，换洗尿布，给患儿的姐姐梳头，洗脚。天冷了，王淑春看患儿没带来棉衣，就把给自己孩子做的一套新棉衣拿出来，重新裁缝，给患儿穿上。,"A.患儿没带来厚棉衣。
B.患儿没带来衣服。
C.每天，王淑春给患儿的姐姐喂奶，换洗尿布。
D.每天，王淑春给患儿梳头。",A,
76,negative,Nature,人民日报1997年02月14日,今年全国甲A足球队12分钟跑体能测试不似往年那样惹眼，也没了现场直播，却有了测试成绩的明显提高。今天，昆明市阴有小雨。,"A.今年全国甲A足球队12分钟跑体能测试没了电视现场直播。
B.今年全国甲A足球队12分钟跑体能测试没了播放渠道。
C.今年全国甲A足球队12分钟跑体能测试成绩明显降低。
D.今天，昆明市晴。",A,
77,negative,Nature,莫言/十三步,追悼会在学校操场上举行，几千名学生站成黑压压的一片。没有轿车—是什么原因？,"A.现场没有黑色轿车。
B.现场没有车。
C.几十名学生站成黑压压的一片
D.追悼会不在学校操场上举行。",A,
78,negative,Nature,莫言/十三步,我好生纳闷，寻思着是下雨呢，可天上没有一丝云彩呀！寻思着是蝉撒尿呢，可杨树上没有蝉的叫声。,"A.杨树上没有黑蚱蝉的叫声。
B.杨树上没有动物的叫声。
C.我一点也不纳闷。
D.天上有云彩。",A,
79,negative,Nature,格非/江南三部曲,没有鱼儿跃出水面。从水面突然出现的是一块块浮标，固定在长满菖蒲的湖水中，把他们拼在一起，一个个数过去，就是一幅完整的标语：花家舍欢迎您船靠岸边，谭功达看见河滩的沙地上站着一位身材高挑的女青年。,"A.没有鲤鱼跃出水面。
B.没有动物跃出水面。
C.从水面突然出现的不是一块块浮标。
D.谭功达没有看见河滩的沙地上站着一位身材高挑的女青年。",A,
80,negative,Nature,人民日报1974年07月01日,有的县去冬今春没下过雨雪。但是，由于深入开展批林批孔运动，广大农村干部、社员，以大寨为榜样，自力更生，艰苦奋斗，大搞农田水利建设，农田的抗旱能力增强，仍然战胜了严重干旱，夺得夏粮丰收。,"A.有的县去冬今春没下过大雨。
B.有的县去年今春没变过天。
C.农田的抗旱能力减弱了。
D.农田没能战胜严重干旱。",A,
