Number,Type,Nature/AI,Source,Premise,Hypothesis,Res
13,positive,Nature,余华 夏季台风,在阿尔卑斯山下的草坡上，盟军的营地以雪山作为背景，一些美丽的女护士正在帐篷之间走来走去。物理老师已经完成了简易棚的支架，现在他正将塑料雨布盖上去。,"A.物理老师之前在做简易棚的支架。
B.女护士是被强制调来这里的。
C.一些美丽的女护士坐在帐篷里休息。
D.物理老师正将塑料雨布拉下来。",A
14,positive,Nature,王朔 玩儿的就是心跳,"这时，我听到关闭车门的“砰砰”声，车动了，轻轻震了一下便开起来；没有广播，没有音乐，也没有鸣笛，静静地滑出站台驶过城市进入了黑暗的田野。
","A.车之前没有在开。
B.车里有两名驾驶员。
C.车门没有关上。
D.车里播放着音乐。",A
15,positive,Nature,巴金 家,爷爷刚刚走过窗子底下，以为爹死了，喘着气走进来。他看见这种情形，就责备我不该引起爹伤心，还安慰爹几句。,"A.我让爹伤心了。
B.爹患上了绝症。
C.爷爷喘着气跑了过来。
D.爹死了。",A
16,positive,Nature,余华 余华自传,有几次他让我坐到课堂上去，和他坐在一把椅子里听老师讲课。有一次一个女老师走过来把他批评了一通，说下次不准带着弟弟来上课，我当时很害怕，他却是若无其事。,"A.他带着弟弟去上课。
B.我和他坐车去的学校。
C.他很怕老师批评。
D.我一点也不害怕。",A
17,positive,Nature,王蒙 蝴蝶,她既平庸而又琐碎，而他在海云的眼里呢，也许愈来愈显得冷酷、自私、夸夸其谈。他意识到自己的责任，他谴责自己破坏了海云的学业，甚至是海云的幸福。,"A.他破坏了海云的学业，甚至是海云的幸福。
B.她对他深恶痛绝。
C.她超凡脱俗。
D.他没有意识到自己的责任。",A
18,positive,Nature,巴金 家,她畏怯地用手遮住眼睛，又坐了下去。风开始在外面怒吼，猛烈地摇撼着窗户，把窗格上糊的纸吹打得凄惨地叫。寒气透过了糊窗纸。屋里骤然冷起来。,"A.她之前坐过。
B.窗外下着大雨。
C.她大胆地睁大了眼睛。
D.屋里很热。",A
19,positive,Nature,老舍 无名高地有了名,大家已听到传达报告，知道了军长的指示，一致表示绝对认真演习。又加上白天能出坑道，个个心里更觉得痛快。坑道是个了不起的发明，可是它也真使人闷气；因此，尽管是冒雨出操，大家还是精神百倍。,"A.大家心里本来就觉着痛快。
B.大家白天要出坑道练习打靶。
C.大家拒绝认真演习。
D.大家不知道军长的指示。",A
20,positive,Nature,余华 我为什么要结婚,我决定去看望两个朋友的时候，正和母亲一起整理新家的厨房，我的父亲在他的书房里一声一声地叫我，要我去帮他整理那一大堆发黄的书籍。,"A.父亲有书房。
B.父亲的书房朝南。
C.我和母亲在整理书房。
D.书籍没有发黄。",A
21,positive,Nature,余华 一九八六年,走到窗前他大吃一惊，他才发现这破碎的竟是唯一幸存的玻璃。其他的窗格里都空空皆无。他不禁伸出手去抚摸，他感到那上面非常粗糙和锐利。,"A.之前有其他玻璃破碎了。
B.玻璃是地震震碎的。
C.他感到窗格上面非常光滑。
D.他没有伸出手去抚摸。",A
22,positive,Nature,余华 一个地主的死,王香火走到他们面前，取下瓜皮帽握在胸前，向其中一个鞠了一躬，接着又向另一个也鞠躬行礼。,"A.王香火有瓜皮帽。
B.王香火边鞠躬边面带微笑。
C.王香火只给其中一个人鞠了躬。
D.王香火走到他们背后。",A
23,positive,Nature,皮皮 比如女人,我养大了我们的孩子，我做饭洗衣服，干全部家务事，还要和他一样工作八小时。我从没和任何别的男人有过不正当的来往，但是，我的丈夫对别人说，我们的婚姻有问题。,"A.我有丈夫。
B.我的丈夫是司机。
C.我从来不干家务。
D.我不工作。",A
24,positive,Nature,冯德英 苦菜花,她要是把脚一挪悬了空，立时就完了……但她一怔，慌忙跳下来，飞跑着去开开门，一头扑在正要进来的人的怀里。,"A.她的脚没有悬空。
B.她站在窗台上擦窗。
C.她慢慢走着去开门。
D.她没有扑在正要进来的人的怀里。",A
25,positive,Nature,梁斌 红旗谱,眼看小邵一刀砍过去，敌军用枪杆遮拦住，砰地一枪打中他的胸膛。小邵趔趄着身子冲过去，想夺取敌人的大枪，也许他意识到，这把刀不能在战场上取得胜利。,"A.这把刀不能在战场上取得胜利。
B.小邵从小练枪。
C.小邵站在原地不动。
D.敌军没有用枪杆遮拦住。",A
26,positive,Nature,巴金 家,这其间她也曾像别的同样年纪的少女那样，做过一些美丽的梦，可是这些梦只一刹那间就过去了。冷酷、无情的现实永远站在她的面前。她也曾梦想过精美的玩具，华丽的衣服，美味的饮食和温暖的被窝，像她所服侍的小姐们所享受的那样。,"A.她没有精美的玩具，华丽的衣服。
B.现实中，她失去了双亲。
C.她不曾做过美丽的梦。
D.她成为了一个小姐。",A
27,positive,Nature,张佐良 周恩来的最后十年,我感到荣幸的是本人的名字被列在其中，校领导给我们分发了报考大学的“志愿登记表”。数日后，在上海交通大学“文治堂”参加全国高考。,"A.我的名字被列在其中。
B.我在志愿登记表上填了20所学校。
C.数日后，我在北京大学参加全国高考。
D.校领导没有给我报考大学的“志愿登记表”。",A
28,positive,Nature,梁晓声 感觉日本,在共进晚餐时，中西隆三先生通过翻译主动与我交谈。他说他并不是替日本的侵华罪恶持怀疑态度，他只是替中国感到遗憾。中国为什么不可以将证据和数字收集的更详实些呢？,"A.中国没有将证据和数字收集的更详实些。
B.我们晚餐用了三个小时。
C.中西隆三先生拒绝与我交谈。
D.他替日本的侵华罪恶持怀疑态度。",A
29,positive,Nature,巴金 家,他知道那个少女所受的责骂，都是他带给她的。他的妹妹的态度引起了他的反感。他很想出来说几句话替鸣凤辩护，然而有什么东西在后面拉住他。他不作声地站在黑暗里，观察这些事情，好像跟他完全不相干似的。,"A.他有妹妹。
B.他在黑暗里站了一夜。
C.他不知道那个少女遭受了责骂。
D.他不想替鸣凤辩护。",A
30,positive,Nature,周而复 上海的早晨,柳惠光敬仰地望着唐仲笙，暗中责怪自己为啥没想到这一层。唐仲笙显出比徐义德更高明，给柳惠光一支持，心里越发得意洋洋。,"A.柳惠光没想到这一层。
B.唐仲笙学历比徐义德高。
C.唐仲笙非常伤心。
D.柳惠光没有望着唐仲笙。",A
31,positive,Nature,巴金 家,门前又恢复了先前的静寂。这所公馆和别的公馆一样，门口也有一对石狮子，屋檐下也挂着一对大的红纸灯笼，只是门前台阶下多一对长方形大石缸，门墙上挂着一副木对联，红漆底子上现出八个隶书黑字：“国恩家庆，人寿年丰。”,"A.门前之前很热闹。
B.这所公馆的主人做的是石油生意。
C.门前有三对石狮子。
D.门墙上没有木对联。",A
32,positive,Nature,戴厚英 人啊人,我自以为已经掌握了马列主义的基本原理，正确地理解了社会、理解了人。我站在讲台上，大声地宣读根据领导意图写成的讲稿，批判我的老师所宣传的人道主义。,"A.我有老师。
B.讲台下有几百个人。
C.我小声地宣读根据领导意图写成的讲稿。
D.我没有站在讲台上。",A
33,positive,Nature,冯德英 迎春花,否则，连他孙承祖和“刮地皮”一伙，也要遭杀身之祸了。接连两次大破坏都未成功，党羽又前后丧生，使孙承祖感到悲哀，丧气。他怕村里为此起疑，一直窝藏在地洞里，吩咐王镯子行走谨慎，常在外面听风声。,"A.之前发生了两次大破坏。
B.他在地洞里藏了半年。
C.他一直在外面打探情报。
D.他不怕村里为此起疑。",A
34,positive,Nature,巴金 家,在中学里他是一个成绩优良的学生，四年课程修满毕业的时候又名列第一。他对于化学很感到兴趣，打算毕业以后再到上海或北京的有名的大学里去继续研究，他还想到德国去留学。,"A.他之前名列第一。
B.四年的课程共有五十门课。
C.他还想到美国去留学。
D.在中学里他成绩一般。",A
35,positive,Nature,余华 活着,明明是凤霞挖到一个地瓜，王四欺负凤霞不会说话，趁凤霞用衣角擦上面的泥时，一把抢了过去。,"A.地瓜上面有泥。
B.王四讨厌凤霞。
C.凤霞会说话。
D.凤霞没有挖到地瓜。",A
36,positive,AI,,李教授终于停止了关于类型学的长篇论述并坐下喝水。,"A.李教授此前在进行长篇论述。
B.听众对类型学内容感到厌烦。
C.李教授站着喝水。
D.李教授从未提及类型学。",A
37,positive,AI,,王警官意识到报案人隐瞒了关键信息，但已经来不及了。,"A.报案人隐瞒了信息。
B.王警官已掌握完整证据链。
C.王警官发现得很及时。
D.报案人主动坦白了所有细节。",A
38,positive,AI,,虽然下雨，登山队继续向峰顶进发，登山队员十分小心。,"A. 登山队此前已在行进途中。
B. 天气未对装备造成损坏。
C. 登山队员粗心大意。
D. 登山队还未开始攀登。",A
39,positive,AI,,张医生后悔采用激进治疗方案，虽然患者病情严重，但是还是应该先保守治疗，看看情况。,"A.激进方案确实被实施过。
B.患者出现严重并发症。
C.张医生一点也不后悔。
D.该方案并不激进。",A
40,positive,AI,,基金会承认今年的捐款金额下降并呼吁社会各界加大对留守儿童问题的关注。,"A.捐款金额有所减少。
B.捐款金额创历史新低。
C.基金会呼吁大家加大对空巢老人问题的关注。
D.捐款数额大幅增长。",A
41,positive,AI,,她意识到自己的错误给团队带来了麻烦。她主动承认错误，实施补救措施，同事们也没有苛责她。,"A.她犯了错误。
B.她把合同条款写错了。
C.她拒绝承认错误。
D.同事们苛责她。",A
42,positive,AI,,爸爸后悔当初没有选择更好的职业道路。但是妈妈认为一切都是最好的安排，我们都支持爸爸的工作。,"A.爸爸当初没有选择更好的职业道路。
B.爸爸现在准备跳槽。
C.妈妈认为一切都是最糟糕的安排。
D.我们不支持爸爸的工作。",A
43,positive,AI,,因为成绩优异且乐于助人，他再次获得了奖学金。同学们都以他为榜样。,"A.他之前获得过奖学金。
B.他获得的是国家奖学金。
C.他不愿意帮助他人。
D.同学们都讨厌他。",A
44,positive,AI,,我家的猫又调皮了。每次有陌生人到家里来，它都很激动。它喜欢把桌上的东西弄得一团糟。,"A.我家的猫之前调皮过。
B.我家的猫因为年纪小所以很调皮。
C.每次有陌生人到家里来，我家的猫都很冷淡。
D.我家的猫不会把桌上的东西弄得一团糟。",A
45,positive,AI,,爸爸的车修好了。他答应开车带我和妹妹去游乐园玩，我们都很激动。,"A.爸爸有一辆车。
B.爸爸的车之前爆胎了。
C.爸爸答应开车带我和妹妹去电影院玩。
D.我和妹妹一点都不激动。",A
46,positive,AI,,老师表扬了小明的进步。小明被评为这个月的“进步之星”，同学们都把他作为榜样。,"A.小明进步了。
B.小明每天下课去找老师问问题。
C.小明被评为这个月的“学习之星”。
D.同学们不把小明作为榜样。",A
47,positive,AI,,妈妈承认是自己忘记关水龙头了。水漫到了邻居家，我们赔偿了邻居的损失。,"A.妈妈忘记关水龙头了。
B.妈妈最近总是心不在焉。
C.水没有蔓延到邻居家。
D.我们没有赔偿邻居的损失。",A
48,positive,AI,,教练的指导让运动员进步很大。教练员不仅在技术上给予运动员指导，还在心理上提供支持。,"A.教练对运动员进行了指导。
B.运动员要去参加奥运会了。
C.教练员没有指导运动员的技术。
D.教练员不提供心理上的支持。",A
49,positive,AI,,员工的努力得到了回报。她被评为“最佳销售”，也获得了最高的提成奖励。,"A.员工付出了努力。
B.领导给予了员工很多帮助。
C.员工被评为“最佳领导”。
D.员工没有获得提成奖励。",A
50,positive,AI,,在小明来之前，我们已经准备好了。我们给他准备的生日惊喜有礼花、蛋糕和生日帽。,"A.小明可能会来。
B.这是小明的二十岁生日。
C.我们没有给小明准备生日惊喜。
D.生日惊喜里没有蛋糕。",A
51,positive,AI,,老师批评小明上课不认真。但是小明这次月考又考了全年级第一，这让老师又爱又恨。,"A.小明之前也考过全年级第一。
B.小明上课在打游戏。
C.小明在课上认真听讲。
D.老师非常讨厌小明。",A
52,positive,AI,,这些人回避了检察官的指控。这些人有的是酒吧的酒保，有的是街边的小混混，还有的是隔壁学校的中学生。,"A.检察官指控了这些人。
B.这些人偷了东西。
C.这些人里没有中学生。
D.这些人里没有酒保。",A
53,positive,AI,,能站在这里发言，她感到十分荣幸。作为班长，同学们和老师的认可是她最大的动力。,"A.她站在这里发言。
B.她站在这里是在召开五四评优活动。
C.同学们和老师不认可她。
D.她不是班长。",A
54,positive,AI,,很高兴，小林转入了自己喜欢的专业。我们一起吃了一顿饭来庆祝这件事，吃完饭后还聊了很久。,"A.小林转入了自己喜欢的专业。
B.小林从高中的时候就想好了自己要读什么专业。
C.我们一起吃了三顿饭来庆祝这件事。
D.吃完饭后我们就没有再聊天了。",A
55,positive,AI,,距离期末还有四周，我们开始考虑怎么应对期末的闭卷考试。我们最终决定一起制定一份复习清单。,"A.我们之前没有考虑过怎么应对期末的闭卷考试。
B.我们这个学期都没有好好听课。
C.距离期末还有八周。
D.我们最终决定分别制定一份复习清单。",A
56,positive,AI,,我的朋友昨天下午到达上海。我到浦东机场去接她，然后我们去了南京路逛街。,"A.我有朋友。
B.我的朋友到上海来找工作。
C.我到虹桥机场去接朋友。
D.我们没有去南京路逛街。",A
57,positive,AI,,经过后桌同学的提醒，前面的同学终于停止了抖腿。我们这排的桌子终于不再晃动了。,"A.前面的同学之前在抖腿。
B.前面的同学有多动症。
C.后桌同学没有提醒前面同学。
D.我们这排的桌子还在晃动。",A
58,positive,AI,,妈妈敲敲门进入我的房间，给我送来一杯热牛奶。,"A.我有自己的房间。
B.我学习到很晚。
C.妈妈给我送来一杯冰牛奶。
D.妈妈没有敲门。",A
59,positive,AI,,我今天逛街碰巧遇到了大学室友。她剪了短发，整个人瘦了不少，变得格外好看。我们还一起吃了饭，聊了一晚上。,"A.我没想过会遇到大学室友。
B.大学室友以前长相非常丑。
C.我们没有一起吃饭。
D.我们没有聊天。",A
60,positive,AI,,小明忘记交作业了。这已经是他这个学期第三次忘记交作业了，老师说如果下次还忘交就要请他的家长来学校。,"A.小明应该交作业。
B.小明昨天晚上出去玩了，没做作业。
C.老师没有批评教育小明。
D.这是小明这个学期第一次忘记交作业。",A
61,negative,Nature,余秋雨/腊梅,这是另一位护士的声音，冒雪数梅的护士今天没上班。这位护士虽然身材颀长，却还有点孩子气，手上夹把红绸伞，眸子四下一转。,"A.有护士冒雪数梅。
B.有护士因为发烧没来上班。
C.这位护士身材矮小。
D.这位护士手上夹把绿绸伞。",A
62,negative,Nature,余华/四月三日事件,他拿起簸箕时竟然长长地舒了口气，于是他不再束手无策。,"A.他之前束手无策。
B.他想到了绝妙的注主意。
C.他放下了簸箕。
D.他吸了一口气。",A
63,negative,Nature,余秋雨/千年一叹,站在金字塔前，所有的人都面对着一连串巨大的问号。不要草率地把问号删去，急急地换上赞美的感叹号或判断的句号。人类文明史还远远没到可以爽然读解的时候，其中，疑问最多的是埃及文明。,"A.人类存在文明史。
B.人类的文明史非常非常漫长。
C.疑问最少的是埃及文明。
D.站在金字塔前，没有人面对着一连串巨大的问号。",A
64,negative,Nature,余华/四月三日事件,他完全没有意识到自己竟然走到白雪家门口了。记得是两年前的某一天，他在这里看到白雪从这扇门里翩翩而出，正如现在她翩翩而出。,"A.他走到白雪门口了。
B.他想要亲吻白雪。
C.白雪不曾从这扇门里翩翩而出。
D.他从未到达过白雪家附近。",A
65,negative,Nature,余华/难逃劫数,沙子是在翌日傍晚去完成森林的委托的，他的这个行动说明他并没有意识到自己已被森林出卖了。,"A.沙子被森林出卖了。
B.沙子和森林是非常要好的兄弟。
C.沙子中午去完成了森林的委托。
D.沙子意识到自己被出卖了。",A
66,negative,Nature,宗璞/东藏记,次日一早，玮看见前排宿舍全都没了房顶，四堵墙好像张着大嘴在呼叫。工人抢在警报之先，已经开始工作，到下午跑警报回来，房椽上已经有一层薄木板，上面再盖上草就可以避风雨。,"A.前排有宿舍。
B.宿舍非常多。
C.工人在报警之后才开始工作。
D.上面再盖上草仍旧不能避风雨。",A
67,negative,Nature,张恨水/春明外史,你那封信，是昨天几时发的，九点就送到了我家里，我父亲还没上衙门哩。听差的也没有仔细看看，就送上去了。,"A.我有父亲。
B.我父亲是大官。
C.那封信昨天九点还没送到我家里。
D.听差的仔细看了看。",A
68,negative,Nature,张炜/你在高原,夜里我们聊天，因为黄湘又去城里办事了，我的屋子没人来骚扰。朱亚从怀中掏出一个照片，我看到了一位可爱的姑娘的肖像。,"A.我有屋子。
B.我的屋子很大。
C.夜里我们没有聊天。
D.朱亚从怀中掏出一个男孩的照片。",A
69,negative,Nature,余华/两个人的历史,此刻全国已经解放，谭博在转业之前回家探视。那时候兰花依然居住在他的家中，只是不再是他母亲的女佣，开始独立地享受起自己的生活。,"A.兰花曾经是谭博母亲的女佣。
B.兰花是母亲的私生女。
C.全国还没有解放。
D.兰花没居住在谭博的家中。",A
70,negative,Nature,李晓明 平原枪声,马英心中不服，可是看了看杜平在黑暗中模胡不清的脸，不知一股什么力量，使他没有继续争辩，轻声地传了一声撤退的命令。大家都摸不着头脑，有的趴在地下还不愿意走呢！,"A.马英之前在争辩。
B.马英自觉理亏。
C.大家都愿意走。
D.马英心中很服气。",A
71,negative,Nature,汪曾祺/大头,层次分明，有条不紊。他修好的鞋没处放，就在板壁上钉了许多钉子，全都挂起来。面朝里，底朝外，鞋底上都贴着白纸条，写明鞋主姓名和取鞋日期。这样倒好，好找，省得一双一双去翻。,"A.鞋之前坏了。
B.这是一双高跟鞋。
C.鞋面上都贴着白纸条。
D.这样不好找。",A
72,negative,Nature,1948年人民日报,在这种情形下，同志们再没继续敲门了，部队就在村外麦场里休息。一会，攻打韩城的炮声响了，同志们都兴奋的睡不着。,"A.同志们之前在敲门。
B.同志们之前敲门敲得非常大声。
C.攻打韩城的炮声始终没响。
D.同志们都睡着了。",A
73,negative,Nature,网络语料 微信公众号,勇敢地转专业，去学你喜欢的东西。那时候被懒癌打败，没继续坚持自己所爱的事情，现在你后悔了，却没有了机会。少吃点，离他远点，先把计算机报了。别想去讨好任何人，别感伤，你要明白一个人也是可以过的，多爱妈妈。,"A.我之前尝试过自己所爱的事情。
B.我爱好的事情很费钱。
C.要想着去讨好别人。
D.一个人是不可以过的。",A
74,negative,Nature,韩寒 三重门,小学里凭他的基础可以轻松通过，升了中学后渐渐力不从心，加上前任语文教师对他的孤傲不欣赏，亟来用荀子劝他，说什么“君子务修其内而让之于外”，见未果，便用庄子吓他“不能容人者，无亲；无亲者，尽人”。,"A.他很孤傲。
B.他被同学霸凌了。
C.小学里凭他的基础不能轻松通过。
D.升了中学后学习很不错。",A
75,negative,Nature,曾卓 诗人的两翼,我并不遗憾于我们的关系没有升华一步，恰恰相反，我认为，像如今这样是最好的：正因为不是圆满的所以是美丽的。她爱过的我也许不过是她心中的一个幻影，令她陶醉的也许只不过是一种情调。,"A.我们的关系没有升华一步。
B.我们吵架了。
C.我认为如今这样是最差的。
D.不圆满的所以是不美丽的。",A
76,negative,Nature,姚雪垠 李自成2,崇祯同后妃们到了涵元殿吃茶休息，随后命宫女们将棋盘摆在昭和殿前边的澄渊亭上，要同田妃下棋。尽管周后不喜欢他对田妃过分宠爱，但是难得见他出来玩耍散心，生怕他闷坏了身体没法照管这八下起火的江山，今天反而希望他单独同田妃玩个痛快。,"A.崇祯对田妃过分宠爱。
B.田妃年轻貌美。
C.崇祯同后妃们到了涵元殿跳舞。
D.周后不希望他单独同田妃玩个痛快。",A
77,negative,Nature,冯德英 苦菜花,母亲陷在痴呆呆的境地里，眼前的一切一片模糊。她不知杏莉母亲来送饭时，她说了些什么，也不记得杏莉母亲什么时候走的，她真的以为是在抱着孩子睡去。,"A.杏莉母亲来送过饭。
B.母亲得了老年痴呆。
C.母亲眼前的一切清晰起来。
D.母亲记得杏莉母亲什么时候走的。",A
78,negative,Nature,李英儒 野火春风斗古城,杨晓冬同银环她们远跟车后，一行送至外卡口，瞧见伪军驭手，抽着响鞭，打着口哨，大摇大摆往外赶。到封锁口时，不晓得王迷胡对卫兵说了些什么，客人连车未下就出了外卡子口。,"A.王迷胡对卫兵说了些话。
B.王迷胡让卫兵帮忙传送秘密情报。
C.杨晓冬同银环她们没有跟着车子。
D.客人下车了。",A
79,negative,Nature,网络语料\社区问答,可我还是受不了．他看我在场，也就没继续这个话题．下午他又来找我，我对他很冷淡，并且很严肃的把他请了出去．他一定会看出点什么，我也觉得自己挺可笑的，人家甜蜜管我什么事呢？,"A.他之前在谈论这个话题。
B.这个话题非常私密。
C.下午他没来找我。
D.我对他很热情。",A
80,negative,Nature,网络语料\微信公众号,而今年虽没继续送礼物，但他们想了一个让营销活动有延续性的方案。即，如果顾客拿着去年情人节在店里用餐的照片来餐厅，则可以免费点100块钱的东西。,"A.之前送过礼物。
B.之前送的礼物十分昂贵。
C.他们想不到一个让营销活动有延续性的方案。
D.顾客无论如何都不能免费点100块钱的东西。",A
81,negative,Nature,王小波/东宫·西宫,她们既不知道有同性恋这样的事，也不知道丈夫是同性恋者，还以为世上所有的男人全是这样，因此也不会抱怨什么。于是，我们认为很严重的事，她却以为不严重。,"A.她们的丈夫是同性恋者。
B.她们的丈夫有外遇。
C.她们认为这是很严重的事。
D.我们认为这事情不严重。",A
82,negative,Nature,陈世旭 将军镇,殷元中这样做，一点不回避他跟殷道严是叔侄关系的事实。李八碗也并不因此难为他，反而觉得他是一个知好识歹，有孝敬之心的人。,"A.殷元中跟殷道严是叔侄关系。
B.殷元中经常到殷道严家吃饭。
C.李八碗觉得他是一个毫无孝敬之心的人。
D.李八碗难为他。",A
83,negative,Nature,2000人民日报,但这些院校的院长在激动之余仍存在着很大的担忧，因为谁也不知道美国经济繁荣的局面还能持续多久。根据以往的规律，当经济增长放慢之时，公司裁员往往接踵而至。,"A.美国现在经济繁荣。
B.美国现在是世界上经济最繁荣的国家。
C.院长一点也不担忧。
D.根据以往的规律，当经济增长放慢之时，公司不会裁员。",A
84,negative,Nature,2000人民日报,本来，这位客户带现金去可以，为了方便才没带现金，却不知道异地取款要交手续费。这时，客户就有一种上当的感觉。,"A.异地取款要交手续费。
B.异地取款的手续费很高。
C.这位客服带了现金。
D.这位客户没感觉自己上当了。",A
85,negative,Nature,老舍 正红旗下,可是，她并不拒绝姑母的小小的援助。大姐的婆婆既要求媳妇打扮得象朵鲜花似的，可又不肯给媳妇一点买胭脂，粉，梳头油等等的零钱，所以姑母一问她要钱不要，大姐就没法不低下头去，表示口袋里连一个小钱也没有。,"A.姑母援助了她。
B.姑母一直都在暗暗帮助她。
C.大姐的婆婆要求媳妇故意扮丑。
D.婆婆肯给媳妇买胭脂的零钱。",A
86,negative,Nature,芙蓉三变 非诚勿扰,沈醉举定酒杯看着座上的一众人等，并不回避苏阑阴暗的眼睛。本来这些都是呼风唤雨惯了的人物，素来横行，若是沈醉来劝听或者替酒，他们大可不当一回事。但是沈醉是端出长辈的身份来敬酒，这个面子就不好不给了。　,"A.苏阑有阴暗的眼睛。
B.苏阑喜欢沈醉。
C.这些都不是呼风唤雨惯了的人物。
D.沈醉没有看着座上的众人。",A
87,negative,Nature,曲波 林海雪原,村的生产委员会，为了不影响生产、剿匪的任务，所以这趟进城的贸易队，全是由妇女和老头组成的。去时，柈子、平货车上装得满满当当；回来时，布匹、棉花包得花花绿绿。,"A.村里有生产的任务。
B.村里剿匪任务非常重。
C.进城的贸易队由妇女和孩子组成。
D.贸易队回来时车上没有货物。",A
88,negative,Nature,2016 人民日报,我并不后悔在热身赛上选择了两个强悍的对手（法国队和加拿大队）。其实我可以选择世界排名比较靠后的对手，让球队轻松赢下比赛，但那样所得到的锻炼意义就不同于这两场比赛。最终我们能以一场胜利结束备战非常好，而且对手也是奥运会参赛队，相信这对我们的团队精神会有所鼓舞。,"A.我在热身赛上选择了两个强悍的对手。
B.我在热身赛上选择了世界排名前2的对手。
C.最终我们没能取得胜利。
D.这两场比赛对我们没有帮助。",A
89,negative,Nature,沈永兴_朱贵生 二战全景纪实,会见中，希特勒挖空心思隐瞒他的真实意图，半点也没有透露他在3个星期之前（11月5日）秘密会议上做出的决策。哈里法克斯本来小心翼翼地想探明希特勒的真实想法，但会谈后细想一想还是没弄明白希特勒的意图。,"A.他在3个星期之前（11月5日）秘密会议上做出了决策。
B.希特勒和他的同伙一起召开了秘密会议。
C.希特勒挖空心思暴露他的真实意图。
D.哈里法克斯不想探明希特勒的真实想法。",A
